Latitude,Ls,MY,fraction,obsid,region_name,which
-85.4074,214.785,29,0.115,ESP_012079_0945,Macclesfield,both
-85.4065,183.727,29,0.07,ESP_011407_0945,Macclesfield,both
-85.4056,198.04,29,0.072,ESP_011723_0945,Macclesfield,both
-85.4049,207.892,29,0.168,ESP_011934_0945,Macclesfield,both
-85.4067,235.282,29,0.111,ESP_012501_0945,Macclesfield,both
-85.4117,224.964,29,0.087,ESP_012290_0945,Macclesfield,both
-85.4086,183.683,29,0.074,ESP_011406_0945,Macclesfield,both
-85.4041,243.978,30,0.049,ESP_021494_0945,Macclesfield,both
-85.4071,209.383,30,0.075,ESP_020782_0945,Macclesfield,both
-85.4086,206.269,30,0.062,ESP_020716_0945,Macclesfield,both
-85.4078,199.501,30,0.065,ESP_020571_0945,Macclesfield,both
-85.4105,186.879,30,0.08,ESP_020294_0945,Macclesfield,both
-85.4075,216.293,30,0.079,ESP_020927_0945,Macclesfield,both
-85.4056,184.557,30,0.054,ESP_020242_0945,Macclesfield,both
-81.8089,196.842,29,0.041,ESP_011697_0980,Starburst,both
-81.7969,180.809,29,0.102,ESP_011341_0980,Starburst,both
-81.8017,203.57,29,0.163,ESP_011842_0980,Starburst,both
-81.8115,187.254,29,0.077,ESP_011486_0980,Starburst,both
-81.8116,240.503,29,0.024,ESP_012607_0980,Starburst,both
-81.8074,213.543,29,0.006,ESP_012053_0980,Starburst,both
-81.8105,223.702,29,0.002,ESP_012264_0980,Starburst,both
-81.812,204.439,30,0.089,ESP_020677_0980,Starburst,both
-81.8075,208.155,30,0.024,ESP_020756_0980,Starburst,both
-81.8403,267.433,30,0.005,ESP_021969_0980,Starburst,both
-86.3912,254.194,29,0.098,ESP_012884_0935,Manhattan_Classic,both
-86.3968,223.07,29,0.021,ESP_012251_0935,Manhattan_Classic,both
-86.3932,247.022,29,0.061,ESP_012739_0935,Manhattan_Classic,both
-86.3925,209.169,29,0.089,ESP_011961_0935,Manhattan_Classic,both
-86.3902,195.647,29,0.064,ESP_011671_0935,Manhattan_Classic,both
-86.3928,260.715,29,0.057,ESP_013016_0935,Manhattan_Classic,both
-86.3917,183.15,29,0.052,ESP_011394_0935,Manhattan_Classic,both
-86.3918,264.609,29,0.017,ESP_013095_0935,Manhattan_Classic,both
-86.3962,242.052,30,0.069,ESP_021455_0935,Manhattan_Classic,both
-86.3977,197.1,30,0.104,ESP_020519_0935,Manhattan_Classic,both
-86.3812,244.027,30,0.075,ESP_021495_0935,Manhattan_Classic,both
-86.41,217.59,30,0.053,ESP_020954_0935,Manhattan_Classic,both
-86.394,200.753,30,0.125,ESP_020598_0935,Manhattan_Classic,both
-86.4047,183.313,30,0.041,ESP_020214_0935,Manhattan_Classic,both
-86.3956,281.619,30,0.002,ESP_022260_0935,Manhattan_Classic,both
-86.3953,188.091,30,0.163,ESP_020321_0935,Manhattan_Classic,both
-86.3737,182.781,30,0.065,ESP_020202_0935,Manhattan_Classic,both
-82.1867,211.399,29,0.1,ESP_012008_0975,Wellington,both
-82.1965,178.833,29,0.072,ESP_011296_0975,Wellington,both
-81.9405,232.092,29,0.07,ESP_012436_0980,Albany,both
-81.9366,225.013,29,0.091,ESP_012291_0980,Albany,both
-81.9383,242.477,29,0.06,ESP_012647_0980,Albany,both
-81.94,225.645,29,0.083,ESP_012304_0980,Albany,both
-81.9461,221.812,29,0.095,ESP_012225_0980,Albany,both
-87.0128,190.814,29,0.129,ESP_011565_0930,Bilbao,both
-87.0138,221.134,29,0.015,ESP_012211_0930,Bilbao,both
-87.0088,200.494,29,0.034,ESP_011776_0930,Bilbao,both
-87.0143,241.785,29,0.051,ESP_012633_0930,Bilbao,both
-87.0115,252.215,29,0.178,ESP_012844_0930,Bilbao,both
-87.0144,234.643,29,0.063,ESP_012488_0930,Bilbao,both
-87.0093,184.304,29,0.127,ESP_011420_0930,Bilbao,both
-87.0038,189.261,30,0.13,ESP_020347_0930,Bilbao,both
-87.0079,264.186,30,0.004,ESP_021903_0930,Bilbao,both
-87.0036,198.899,30,0.006,ESP_020558_0930,Bilbao,both
-85.21,207.751,29,0.225,ESP_011931_0945,Ithaca,both
-85.2101,214.02,29,0.212,ESP_012063_0945,Ithaca,both
-85.216,181.205,29,0.091,ESP_011350_0945,Ithaca,both
-85.2099,214.641,29,0.21,ESP_012076_0945,Ithaca,both
-85.2084,242.279,29,0.212,ESP_012643_0945,Ithaca,both
-85.2857,252.71,29,0.229,ESP_012854_0945,Ithaca,both
-85.2157,181.249,29,0.056,ESP_011351_0945,Ithaca,both
-85.236,183.594,29,0.116,ESP_011404_0945,Ithaca,both
-85.2394,183.549,29,0.088,ESP_011403_0945,Ithaca,both
-85.2751,252.907,29,0.225,ESP_012858_0855,Ithaca,both
-85.1337,189.713,30,0.088,ESP_020357_0950,Ithaca,both
-85.1377,195.125,30,0.248,ESP_020476_0950,Ithaca,both
-85.1591,243.829,30,0.316,ESP_021491_0950,Ithaca,both
-85.1362,209.241,30,0.324,ESP_020779_0950,Ithaca,both
-85.1344,180.311,30,0.119,ESP_020146_0950,Ithaca,both
-85.1374,199.362,30,0.355,ESP_020568_0950,Ithaca,both
-87.3029,209.121,29,0.101,ESP_011960_0925,Portsmouth,both
-87.3034,250.88,29,0.031,ESP_012817_0925,Portsmouth,both
-87.3033,226.228,29,0.06,ESP_012316_0925,Portsmouth,both
-87.303,236.56,29,0.054,ESP_012527_0925,Portsmouth,both
-87.3034,233.317,29,0.037,ESP_012461_0925,Portsmouth,both
-87.3032,207.493,30,0.141,ESP_020742_0925,Portsmouth,both
-87.3034,242.002,30,0.034,ESP_021454_0925,Portsmouth,both
-87.3023,245.262,30,0.04,ESP_021520_0925,Portsmouth,both
-87.3029,200.706,30,0.063,ESP_020597_0925,Portsmouth,both
-87.3032,217.541,30,0.095,ESP_020953_0925,Portsmouth,both
-87.3026,191.024,30,0.01,ESP_020386_0925,Portsmouth,both
-86.8467,214.689,29,0.046,ESP_012077_0930,Pisaq,both
-86.8436,235.184,29,0.034,ESP_012499_0930,Pisaq,both
-86.842,184.794,29,0.036,ESP_011431_0930,Pisaq,both
-86.8471,209.289,30,0.054,ESP_020780_0930,Pisaq,both
-87.0015,197.486,29,0.04,ESP_011711_0930,Manhattan_Frontinella,both
-87.0001,259.432,29,0.007,ESP_012990_0930,Manhattan_Frontinella,both
-87.0034,241.834,29,0.008,ESP_012634_0930,Manhattan_Frontinella,both
-86.9757,204.224,29,0.024,ESP_011856_0930,Manhattan_Frontinella,both
-87.0014,249.0,29,0.004,ESP_012779_0930,Manhattan_Frontinella,both
-86.9964,181.632,30,0.013,ESP_020176_0930,Manhattan_Frontinella,both
-86.9902,192.887,30,0.053,ESP_020427_0930,Manhattan_Frontinella,both
-86.9894,186.341,30,0.018,ESP_020282_0930,Manhattan_Frontinella,both
-81.9149,221.909,29,0.051,ESP_012227_0980,BuenosAires,both
-81.9113,253.008,29,0.032,ESP_012860_0980,BuenosAires,both
-81.908,256.914,29,0.039,ESP_012939_0980,BuenosAires,both
-81.9247,182.088,29,0.002,ESP_011370_0980,BuenosAires,both
-81.908,235.43,29,0.041,ESP_012504_0980,BuenosAires,both
-81.9079,201.238,29,0.04,ESP_011792_0980,BuenosAires,both
-81.9134,188.557,29,0.009,ESP_011515_0980,BuenosAires,both
-81.9139,251.296,30,0.037,ESP_021642_0980,BuenosAires,both
-81.9099,190.572,30,0.018,ESP_020376_0980,BuenosAires,both
-81.9117,187.014,30,0.014,ESP_020297_0980,BuenosAires,both
-81.9104,206.411,30,0.059,ESP_020719_0980,BuenosAires,both
-81.9091,196.594,30,0.029,ESP_020508_0980,BuenosAires,both
-81.9085,244.126,30,0.021,ESP_021497_0980,BuenosAires,both
-81.9141,216.438,30,0.046,ESP_020930_0980,BuenosAires,both
-81.4783,206.291,29,0.091,ESP_011900_0985,Inca_City_Ridges,both
-81.4657,244.65,29,0.062,ESP_012691_0985,Inca_City_Ridges,both
-81.4701,226.522,29,0.068,ESP_012322_0985,Inca_City_Ridges,both
-81.4668,197.073,29,0.059,ESP_011702_0985,Inca_City_Ridges,both
-81.4675,193.452,29,0.057,ESP_011623_0985,Inca_City_Ridges,both
-81.4608,254.442,29,0.096,ESP_012889_0985,Inca_City_Ridges,both
-81.4717,190.453,29,0.052,ESP_011557_0985,Inca_City_Ridges,both
-81.466,188.901,30,0.099,ESP_020339_0985,Inca_City_Ridges,both
-81.4537,245.559,30,0.05,ESP_021526_0985,Inca_City_Ridges,both
-81.4806,249.466,30,0.072,ESP_021605_0985,Inca_City_Ridges,both
-81.4608,252.73,30,0.072,ESP_021671_0985,Inca_City_Ridges,both
-81.4565,253.373,30,0.089,ESP_021684_0985,Inca_City_Ridges,both
-81.4585,260.539,30,0.127,ESP_021829_0985,Inca_City_Ridges,both
-81.4052,211.519,30,0.078,ESP_020827_0985,Inca_City_Ridges,both
-81.4674,178.951,30,0.074,ESP_020115_0985,Inca_City_Ridges,both
-81.3809,223.314,29,0.025,ESP_012256_0985,Inca_City,both
-81.3745,247.27,29,0.01,ESP_012744_0985,Inca_City,both
-81.3269,187.478,29,0.064,ESP_011491_0985,Inca_City,both
-81.3698,233.613,29,0.017,ESP_012467_0985,Inca_City,both
-81.3289,265.496,29,0.053,ESP_013113_0985,Inca_City,both
-81.381,198.318,29,0.034,ESP_011729_0985,Inca_City,both
-81.3353,261.604,29,0.038,ESP_013034_0985,Inca_City,both
-81.3743,189.865,29,0.03,ESP_011544_0985,Inca_City,both
-81.3848,207.777,30,0.05,ESP_020748_0985,Inca_City,both
-81.3854,242.299,30,0.033,ESP_021460_0985,Inca_City,both
-81.3874,217.831,30,0.05,ESP_020959_0985,Inca_City,both
-81.3893,179.521,30,0.023,ESP_020128_0985,Inca_City,both
-81.3872,176.075,30,0.021,ESP_020049_0985,Inca_City,both
-81.3798,182.428,30,0.046,ESP_020194_0985,Inca_City,both
-81.4043,302.421,30,0.01,ESP_022699_0985,Inca_City,both
-84.8125,227.593,29,0.029,ESP_012344_0950,Giza,both
-84.8055,185.508,29,0.041,ESP_011447_0950,Giza,both
-84.9587,245.291,29,0.013,ESP_012704_0850,Giza,both
-84.8013,203.616,29,0.057,ESP_011843_0950,Giza,both
-84.8103,252.265,29,0.077,ESP_012845_0950,Giza,both
-84.9791,221.182,29,0.014,ESP_012212_0950,Giza,both
-84.8106,223.75,29,0.038,ESP_012265_0950,Giza,both
-84.8063,185.552,29,0.062,ESP_011448_0950,Giza,both
-84.8005,251.819,29,0.039,ESP_012836_0850,Giza,both
-84.8073,200.54,29,0.045,ESP_011777_0950,Giza,both
-84.8108,247.714,29,0.058,ESP_012753_0950,Giza,both
-84.8306,209.431,30,0.023,ESP_020783_0950,Giza,both
-84.8184,282.247,30,0.002,ESP_022273_0950,Giza,both
-84.8316,191.705,30,0.022,ESP_020401_0950,Giza,both
-84.8309,180.487,30,0.026,ESP_020150_0950,Giza,both
-84.836,215.096,30,0.022,ESP_020902_0950,Giza,both
-84.8598,243.385,30,0.012,ESP_021482_0950,Giza,both
-84.8339,195.309,30,0.044,ESP_020480_0950,Giza,both
-81.6944,198.688,29,0.034,ESP_011737_0980,Potsdam,both
-81.6944,235.971,29,0.027,ESP_012515_0980,Potsdam,both
